fact_check_id,claim,instances,title
20,"('"" نيوزلندا .. بفضل الله عزوجل المسجد الذي اطلق فيه النار علي المصلين يستقبل اضعاف اضعاف في صلاة المغرب ولهذا نقول للشهداء لا تحزنوا على ما تركتم وافرحوا بما قدمتم ان شاء الله عز وجل الى الفردوس الاعلى من الجنة ونبشركم ان المسجد اصبح يعج بالمصلين بعدكم ومع ذلك الله عز وجل سخر لهم من يحرسهم بصلاتهم""', '""New Zealand..By the grace of God Almighty, the mosque in which the worshipers were shot receives many times as much in the Maghrib prayer. This is why we say to the martyrs: Do not grieve for what you left and rejoice for what you have done, God Almighty, willing, to the highest paradise of Paradise. We give you good news that the mosque has become teeming with worshipers after you."" God Almighty mocked for them those who guard them with their prayers.', [('ara', 1.0)])","[(1552953540.0, 'https://fatabyyano.net/%d9%85%d8%b3%d8%ac%d8%af_%d8%a7%d9%84%d9%86%d9%88%d8%b1_%d9%86%d9%8a%d9%88%d8%b2%d9%8a%d9%84%d9%86%d8%af%d8%a7/#29186a2263f77f819cc59f5d90162042')]","('مسجد النور بنيوزيلندا يستقبل أضعاف المصلين تضامنا مع شهداء المذبحة -زائف جزئيًّا', 'Al Noor Mosque in New Zealand receives multiple worshipers in solidarity with the massacre martyrs - partly false', [('ara', 1.0)])"
21,"('"" هام : لا يفضل تناول أدوية خافضة لدرجة الحرارة ومسكنة لإزالة الآلام والصداع من مجموعة مضادات الألتهاب ( NSAID ) وأشهرها \u202c \u202bالبروفين والفولتارين و الإبيوبروفين \u202cوغيرها. \u202bمع المصابين بفيروس الكورونا لانها تقلل المناعة وتزود من تأثير الفيروس على الصدر طبقا لدراسات صغيرة و ومقالات طبية حديثة \u202c \u202bويستخدم بديل لها مجموعة البارسيتامول مثل البانودل والبارامول \u202cوغيرها""', 'Important: It is not preferable to take antipyretic and analgesic drugs to remove pain and headaches from the group of anti-inflammatories (NSAIDs), the most famous of which are ibuprofen, Voltaren, ibuprofen, and others. With people infected with the corona virus because it reduces immunity and increases the effect of the virus on the chest according to small studies and articles A modern medical device, and an alternative to it is used by the paracetamol group, such as Panodel, Paramol, and others.', [('ara', 1.0)])","[(1584575940.0, 'https://fatabyyano.net/%d8%a7%d9%84%d8%a5%d9%8a%d8%a8%d9%88%d8%a8%d8%b1%d9%88%d9%81%d9%8a%d9%86-%d9%8a%d8%b2%d9%8a%d8%af-%d9%85%d9%86-%d8%a7%d9%86%d8%aa%d8%b4%d8%a7%d8%b1-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d9%88%d9%8a/#5d6f7b90ce6bacbc62f339abf2abc7a6')]","('الإيبوبروفين يزيد من انتشار كورونا ويؤثر سلبا على صحة المصاب، ما صحة ذلك!', 'Ibuprofen increases the spread of corona and negatively affects the health of the injured, how true is that!', [('ara', 1.0)])"
22,"('"" ‘What difference, at this point, does it make?\' I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, \'Why didn\'t you just pick up the phone and call the survivors’ (of the Benghazi attack)?""', '"" ‘What difference, at this point, does it make?\' I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, \'Why didn\'t you just pick up the phone and call the survivors’ (of the Benghazi attack)?""', [('eng', 1.0)])","[(1468990296.0, 'https://www.politifact.com/factchecks/2016/jul/20/ron-johnson/what-you-need-know-about-hillary-clintons-infamous/#46a83001e29db4245dc746d98b5a3cfe')]","(""What you need to know about Hillary Clinton's 'infamous response' to Benghazi question"", ""What you need to know about Hillary Clinton's 'infamous response' to Benghazi question"", [('eng', 1.0)])"
23,"('""""Bangkai"" KM Sinar Bangun Ditemukan""', '""The carcass of KM Sinar Bangun was found""', [('msa', 1.0)])","[(1529971080.0, 'https://cekfakta.com/focus/174#887aa8fbed71c4d6f63667d7819b6fd3')]","('[DISINFORMASI] """"Bangkai"" KM Sinar Bangun Ditemukan""', '[DISINFORMATION] ""The ""Wreck"" of KM Sinar Bangun Found""', [('msa', 1.0)])"
24,"('""""Biden & the Dems are coming to your front door to force you to take the [COVID-19] vax.""', '""""Biden & the Dems are coming to your front door to force you to take the [COVID-19] vax.""', [('eng', 1.0)])","[(1625788680.0, 'https://www.factcheck.org/2021/07/scicheck-greenes-deceptive-claims-of-forced-covid-19-vaccinations-and-vaccination-deaths/#77f05d6b57e7ddec2e383cfeb3e61b81')]","('Greene’s Deceptive Claims of Forced COVID-19 Vaccinations and Vaccination ‘Deaths’', 'Greene’s Deceptive Claims of Forced COVID-19 Vaccinations and Vaccination ‘Deaths’', [('eng', 1.0)])"
25,"('""#Broward elections department has a history of violating the law.""', '""#Broward elections department has a history of violating the law.""', [('eng', 1.0)])","[(1542054412.0, 'https://www.politifact.com/factchecks/2018/nov/12/marco-rubio/marco-rubio-says-broward-elections-office-has-hist/#2b80eb732d01a44b53d517bea1755048')]","('Marco Rubio says Broward elections office has history of breaking the law', 'Marco Rubio says Broward elections office has history of breaking the law', [('eng', 1.0)])"
26,"('""#COVID19 did not start in central China’s Wuhan but may come through imported frozen food and packaging: experts”', '""#COVID19 did not start in central China’s Wuhan but may come through imported frozen food and packaging: experts”', [('eng', 1.0)])","[(1606435140.0, 'https://www.polygraph.info/a/china-covid19-imported-wuhan/30972446.html#d759cf33470c56a9e240b3e5297c07bb')]","('Imported pandemic: Chinese state media deflects Covid-19 origin', 'Imported pandemic: Chinese state media deflects Covid-19 origin', [('eng', 1.0)])"
27,"('""#FISAMemo shows real collusion between Dem operatives & key officials at the FBI & DOJ to spy on the #Trump campaign & interfere in the 2016 election.""', '""#FISAMemo shows real collusion between Dem operatives & key officials at the FBI & DOJ to spy on the #Trump campaign & interfere in the 2016 election.""', [('eng', 1.0)])","[(1517694310.0, 'https://www.washingtonpost.com/news/fact-checker/wp/2018/02/03/does-the-gop-memo-show-the-fbi-spied-on-the-trump-campaign/?hpid=hp_rhp-top-table-main_fc-memo-302pm%3Ahomepage%2Fstory&utm_term=.e50240ce1cb0#7e29d152860005e3aad54169aacbc79d')]","('Does the GOP memo show the FBI spied on the Trump campaign?', 'Does the GOP memo show the FBI spied on the Trump campaign?', [('eng', 1.0)])"
28,"('""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""', '""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""', [('eng', 1.0)])","[(1551469177.0, 'https://www.politifact.com/factchecks/2019/mar/01/ilhan-omar/cohen-and-abrams-double-standard-lying-congress/#03a766ed0c27f909f3830e7eb989d608')]","('Cohen and Abrams: A double standard on lying to Congress?', 'Cohen and Abrams: A double standard on lying to Congress?', [('eng', 1.0)])"
29,"('""#Ukraine’s language law comes into force, prohibiting Russian from being spoken by doctors and teachers. Clear violation of human rights and #MinskAgreements.""', '""#Ukraine’s language law comes into force, prohibiting Russian from being spoken by doctors and teachers. Clear violation of human rights and #MinskAgreements.""', [('eng', 1.0)])","[(1563839880.0, 'https://www.polygraph.info/a/russian-foreign-ministry-raises-fears-ukrainian-language-law-fact-check/30069843.html#9ccc0eac058fb6d36252719a042a93f7')]","('Russian Foreign Ministry Raises False Fears About Ukrainian Language Law', 'Russian Foreign Ministry Raises False Fears About Ukrainian Language Law', [('eng', 1.0)])"
30,"('""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""', '""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""', [('eng', 1.0)])","[(1529941822.0, 'http://www.politifact.com/factchecks/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/#0c63e015475ea46e4e7010efc9edc477')]","('Did Rauner really pour $1 billion ‘down the drain’?', 'Did Rauner really pour $1 billion ‘down the drain’?', [('eng', 1.0)])"
31,"('""$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.""', '""$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.""', [('eng', 1.0)])","[(1543877504.0, 'https://www.politifact.com/factchecks/2018/dec/03/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-scale-pentagon-acco/#b69a278db53b40616b18b0d3fe729c47')]","('Alexandria Ocasio-Cortez wrong on scale of Pentagon accounting errors', 'Alexandria Ocasio-Cortez wrong on scale of Pentagon accounting errors', [('eng', 1.0)])"
32,"('""$3.2 trillion — just think of it — in tax cuts for American families.""', '""$3.2 trillion — just think of it — in tax cuts for American families.""', [('eng', 1.0)])","[(1513966662.0, 'http://www.factcheck.org/2017/12/trump-inflates-tax-benefits/#2cd40a07dad7793f947ed5c4f95d14ea')]","('Trump Inflates Tax Benefits', 'Trump Inflates Tax Benefits', [('eng', 1.0)])"
33,"('""$4 trillion jobs plan"" unnecessary because 2020 unemployment was lowest ever without it', '""$4 trillion jobs plan"" unnecessary because 2020 unemployment was lowest ever without it', [('eng', 1.0)])","[(1620152520.0, 'https://factcheck.afp.com/posts-biden-jobs-plan-falsely-claim-2020-unemployment-was-lowest-ever#5e96c4239a1ca70394fbbfcc9a590044')]","('Posts on Biden jobs plan falsely claim 2020 unemployment was lowest ever', 'Posts on Biden jobs plan falsely claim 2020 unemployment was lowest ever', [('eng', 1.0)])"
34,"('""$5,000 a year"" is ""the burden of Joe Biden’s inflation tax on Wisconsin families.""', '""$5,000 a year"" is ""the burden of Joe Biden’s inflation tax on Wisconsin families.""', [('eng', 1.0)])","[(1655855880.0, 'https://www.factcheck.org/2022/06/stimulus-spending-a-factor-but-far-from-whole-story-on-inflation/#31204f5e99831c68556f7c8fe9bd8f63')]","('Stimulus Spending a Factor, But Far From Whole Story on Inflation', 'Stimulus Spending a Factor, But Far From Whole Story on Inflation', [('eng', 1.0)])"
35,"('""$53 million a week is coming across the border in drugs.""', '""$53 million a week is coming across the border in drugs.""', [('eng', 1.0)])","[(1570924680.0, 'https://www.politifact.com/factchecks/2019/nov/18/david-mckinley/what-value-drugs-come-us-border/#17964bf1150590a417a43683f49cff07')]","('What is the value of drugs that come to the U.S. border?', 'What is the value of drugs that come to the U.S. border?', [('eng', 1.0)])"
36,"('""$575 billion cut from Medicare in Trump’s proposed 2020 budget.""', '""$575 billion cut from Medicare in Trump’s proposed 2020 budget.""', [('eng', 1.0)])","[(1569801480.0, 'https://www.politifact.com/factchecks/2019/oct/03/florida-democratic-party/trump-visit-florida-state-democrats-mislead-about-/#dd3e8ab333d1261ea98fb9461eeaf2d1')]","(""Florida Democrats spin about Trump's Medicare budget ahead of Villages visit"", ""Florida Democrats spin about Trump's Medicare budget ahead of Villages visit"", [('eng', 1.0)])"
37,"('""\'Bolsonaro lidera maior passeio de moto do planeta! Realmente Mito!\' (Elon Musk)\nE assim o bilionário Elon Musk, dono da Tesla e da Space X, se torna o mais novo Bolsominion do planeta.""', '""\'Bolsonaro leads the biggest motorcycle tour on the planet! Really Myth!\' (Elon Musk)\nAnd so billionaire Elon Musk, owner of Tesla and Space X, becomes the youngest Bolsominion on the planet.""', [('por', 1.0)])","[(1651500828.0, 'https://observador.pt/factchecks/fact-check-elon-musk-foi-ao-twitter-elogiar-concentracao-motard-de-apoio-a-bolsonaro/#9f344aa9f56220b8a2e0e47566784f8a')]","('Fact Check. Elon Musk foi ao Twitter elogiar concentração motard de apoio a Bolsonaro?', 'Fact Check. Elon Musk took to Twitter to praise biker concentration in support of Bolsonaro?', [('por', 1.0)])"
38,"('""\'Defunding\' to a lot of people means break up the police forces, and either that or don\'t give them any money, so essentially they are breaking it up.""', '""\'Defunding\' to a lot of people means break up the police forces, and either that or don\'t give them any money, so essentially they are breaking it up.""', [('eng', 1.0)])","[(1591996873.0, 'https://www.politifact.com/article/2020/jun/12/fact-checking-donald-trumps-fox-news-interview-pol/#a09b7a5151c71029325485af327e19ea')]","('Fact-checking Donald Trump’s Fox News interview on police brutality protests', 'Fact-checking Donald Trump’s Fox News interview on police brutality protests', [('eng', 1.0)])"
39,"('""\'I Didn’t Want to Go Through the Rioting\': Juror in Chauvin Trial Makes Stunning Admission over \'Guilty\' Verdict.""', '""\'I Didn’t Want to Go Through the Rioting\': Juror in Chauvin Trial Makes Stunning Admission over \'Guilty\' Verdict.""', [('eng', 1.0)])","[(1619049480.0, 'https://www.factcheck.org/2021/04/posts-mislead-on-words-of-alternate-juror-in-chauvin-trial/#520ba26f5a90bd4910aac9b9262b2cd8')]","('Posts Mislead on Words of Alternate Juror in Chauvin Trial', 'Posts Mislead on Words of Alternate Juror in Chauvin Trial', [('eng', 1.0)])"
40,"('""\'PORTUGUESITO\'\nClaramente, demos confiança a mais a esta gente. Uma população branda, habituada a bajular figuras de autoridade - a quem basta vestir uma farda ou por uma boa gravata - paga agora o preço da sua própria passividade.""', '""\'PORTUGUESE\'\nClearly, we gave these people more confidence. A soft population, used to fawning over authority figures - who only wear a uniform or a good tie - now pays the price of its own passivity.""', [('por', 1.0)])","[(1626211380.0, 'https://observador.pt/factchecks/fact-check-gouveia-e-melo-usou-expressao-portuguesito-para-se-referir-a-pessoas-por-vacinar/#41d012bc41dc91d07e9cf20382ce6c53')]","('Fact Check. Gouveia e Melo usou expressão ""portuguesito"" para se referir a pessoas por vacinar?', 'Fact Check. Did Gouveia e Melo use the expression ""Portuguese"" to refer to people to be vaccinated?', [('por', 1.0)])"
42,"('""(...) E menos de 2% de [tratamento de] esgoto”', '""(...) And less than 2% of sewage [treatment]""', [('por', 1.0)])","[(1605311940.0, 'https://piaui.folha.uol.com.br/lupa/2020/11/13/porto-velho-hildon-chaves-saude-saneamento/#103d67c366c7cf087bc0e77924a91f1b')]",
43,"('""(...) Ele [Rui Costa] tem uma avaliação superior a 70% do nosso estado""', '""(...) He [Rui Costa] has an evaluation superior to 70% of our state""', [('por', 1.0)])","[(1603065480.0, 'https://piaui.folha.uol.com.br/lupa/2020/10/19/salvador-sabatina-eleicoes/#30b5b15150ba9174c32c3692830997df')]",
44,"('""(...) Por favor, faça a sua parte para que isto chegue ao fim. Se tem família ou amigos que ainda não foram vacinados, não os deixe estar em jantares de família, não fale com eles ao telefone, não lhes responda às mensagens. Faça tudo o que puder para lhes dificultar a vida até que eles cumpram.""', '""(...) Please do your part to make this come to an end. If you have family or friends who haven\'t been vaccinated yet, don\'t let them be at family dinners, don\'t talk to them on the phone, don\'t answer them to messages. Do everything you can to make their lives difficult until they comply.""', [('por', 1.0)])","[(1644496565.0, 'https://observador.pt/factchecks/fact-check-primeiro-ministro-do-canada-pediu-a-populacao-que-fizesse-a-vida-dificil-aos-nao-vacinados-contra-a-covid-19/#788d2f02cef9472a7fd79ba56aa619c6')]","('Fact Check. Primeiro-ministro do Canadá pediu à população que fizesse ""a vida difícil"" aos não vacinados contra a Covid-19?', 'Fact Check. Prime Minister of Canada asked the population to make ""life difficult"" for those not vaccinated against Covid-19?', [('por', 1.0)])"
45,"('""(...) Porque os animais estavam morrendo, decidiram parar os testes""', '""(...) Because the animals were dying, they decided to stop the tests""', [('por', 1.0)])","[(1632460012.0, 'https://observador.pt/factchecks/fact-check-testes-das-vacinas-contra-a-covid-19-em-animais-foram-interrompidos-porque-eles-estavam-a-morrer/#64cdd7eedc8e37c4a3c91e8120427303')]","('Fact Check. Testes das vacinas contra a Covid-19 em animais foram interrompidos porque eles estavam a morrer?', 'Fact Check. Tests of Covid-19 vaccines on animals were stopped because they were dying?', [('por', 1.0)])"
46,"('""(...) [contribuir com a] melhoria dos indicadores de saneamento""', '""(...) [contribute to] the improvement of sanitation indicators""', [('por', 1.0)])","[(1606676335.0, 'https://piaui.folha.uol.com.br/lupa/2020/11/29/bruno-covas-sao-paulo-promessas/#ea5f1f20a8aacc348561d78e4d84dde1')]",
47,"('""(...) a cidade tem na sua agenda, (...) por exemplo, pior saneamento do Brasil""', '""(...) the city has on its agenda, (...) for example, the worst sanitation in Brazil""', [('por', 1.0)])","[(1605052740.0, 'https://piaui.folha.uol.com.br/lupa/2020/11/11/belem-priante-faltas-camara/#b57b10b38252c456656914e4ecf68d2f')]",
48,"('""(...) apelidaram de ""marquise"" um aumento na casa de Cristiano Ronaldo. Gostava é que agora, esses mesmos que vieram a público, quer os mídia quer o povinho, que tanto o criticou e satirizou, que falassem sobe este nobre gesto. Calados?? Pois é... a dor de corno é mesmo lixada.""', '""(...) they called an increase in Cristiano Ronaldo\'s house ""marquise"". gesture. Shut up?? Yeah... the cuckold\'s pain really sucks.""', [('por', 1.0)])","[(1623618019.0, 'https://observador.pt/factchecks/fact-check-ronaldo-financiou-unidade-hospitalar-e-comunicacao-social-ficou-calada/#24ecf976db75115a454e36aa1bd23dcc')]","('Fact Check. Ronaldo financiou unidade hospitalar e comunicação social ficou calada?', 'Fact Check. Ronaldo financed a hospital unit and the media was silent?', [('por', 1.0)])"
49,"('""(...) e esta organização especial em que a escola vai ter de funcionar, como que criando caixas estanques entre cada turma, para que cada sala seja só para uma turma, cada carteira seja só para um aluno, que os lugares sejam sempre os mesmos (...)""', '""(...) and this special organization in which the school will have to function, as if creating watertight boxes between each class, so that each room is only for one class, each desk is only for one student, that the places are always the same (...)""', [('por', 1.0)])","[(1600112807.0, 'https://observador.pt/factchecks/fact-check-as-escolas-vao-ter-uma-carteira-para-cada-aluno/#37595df7a31bfb63ea37acb4f1484493')]","('Fact Check. As escolas vão ter uma carteira para cada aluno?', 'Fact Check. Will schools have a desk for each student?', [('por', 1.0)])"
50,"('""(...) essa cidade que tem quase 80% de sua população de homens, mulheres, crianças, jovens negros""', '""(...) this city that has almost 80% of its population of black men, women, children, young people""', [('por', 1.0)])","[(1603065480.0, 'https://piaui.folha.uol.com.br/lupa/2020/10/19/salvador-sabatina-eleicoes/#34b27bf53853f45a39290792235596e4')]",
51,"('""(...) eu moro na China a quase 2 anos… Aqui não teve não tem e não haverá vacina...”', '""(...) I have lived in China for almost 2 years... Here there was no vaccine and there will be no vaccine...""', [('por', 1.0)])","[(1606867140.0, 'https://lupa.uol.com.br/jornalismo/2020/12/02/caiu-na-rede-covid-vacina-china#e135cddc000fc107de76b86095ce6a60')]",
52,"('""(...) nós temos aí quase R$ 600 mil por mês que são pagos a comissionados""', '""(...) we have almost R$ 600 thousand per month that are paid to commission workers""', [('por', 1.0)])","[(1604361540.0, 'https://lupa.uol.com.br/jornalismo/2020/11/03/curitiba-christiane-yared-turismo#af55da7239241ec670e8e67b3e8aec83')]",
54,"('""(...) vamos zerar a fila de espera existente [nas creches]""', '""(...) we will eliminate the existing waiting queue [in day care centers]""', [('por', 1.0)])","[(1606676335.0, 'https://piaui.folha.uol.com.br/lupa/2020/11/29/bruno-covas-sao-paulo-promessas/#cb81d32b46308fa9e5579afb154b27ac')]",
56,"('""(A Pere Aragonés) ustedes eliminaron la consejería de Medio Ambiente hace 10 años""', '""(To Pere Aragonés) you eliminated the Ministry of the Environment 10 years ago""', [('spa', 1.0)])","[(1612915140.0, 'https://www.newtral.es/fact-check-medio-ambiente-erc-ciu-erc-jessica-albiach/20210210/#1d9b7d0a05070a2e7e3cad27323d5f5c')]","('El Departamento de Medio Ambiente de Cataluña lo eliminó CiU y no ERC como dice Jéssica Albiach', 'The Department of the Environment of Catalonia eliminated CiU and not ERC as Jéssica Albiach says', [('spa', 1.0)])"
57,"('""(Adam Schiff) made up my phone call. He made it up. He made up a phone call, and then when I released it, everybody was embarrassed.""', '""(Adam Schiff) made up my phone call. He made it up. He made up a phone call, and then when I released it, everybody was embarrassed.""', [('eng', 1.0)])","[(1574449012.0, 'https://www.politifact.com/article/2019/nov/22/fact-checking-trumps-falsehoods-fox-and-friends-ab/#212086b3587adc039a3cff514685641b')]","('Fact-checking Trump’s falsehoods on Fox & Friends about Ukraine, impeachment and Mueller report', 'Fact-checking Trump’s falsehoods on Fox & Friends about Ukraine, impeachment and Mueller report', [('eng', 1.0)])"
